method,profile,seed,trial,epoch,final_top1,final_top5,best_top1,paper_target,gap_pp,status,eligible,teacher_top1,teacher_sha256,seconds,peak_memory_bytes,config,checkpoint,identity,error
crd_kd,author_code,0,1,240,75.43,93.93,75.59,75.46,-0.029999999999986926,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22767.420879999234,1446451200,E:\Contrastive Representation Distillation\runs\author_code_crd_kd_seed0_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_crd_kd_seed0_trial1\resume.pt,b08450283a0e8ad5846e5d6c8aa243512ab890f028a4513a0bbf4c07b17ce64a,
crd_kd,author_code,1,1,240,75.39,93.78,75.57,75.46,-0.06999999999999318,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22771.355633699684,1446451200,E:\Contrastive Representation Distillation\runs\author_code_crd_kd_seed1_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_crd_kd_seed1_trial1\resume.pt,b08450283a0e8ad5846e5d6c8aa243512ab890f028a4513a0bbf4c07b17ce64a,
crd_kd,author_code,2,1,240,75.3,93.59,75.54,75.46,-0.1599999999999966,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22752.045812199824,1446451200,E:\Contrastive Representation Distillation\runs\author_code_crd_kd_seed2_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_crd_kd_seed2_trial1\resume.pt,b08450283a0e8ad5846e5d6c8aa243512ab890f028a4513a0bbf4c07b17ce64a,
crd_kd,author_code,3,1,240,74.92,93.72,75.28,75.46,-0.539999999999992,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22481.544412299983,1446451200,E:\Contrastive Representation Distillation\runs\author_code_crd_kd_seed3_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_crd_kd_seed3_trial1\resume.pt,b08450283a0e8ad5846e5d6c8aa243512ab890f028a4513a0bbf4c07b17ce64a,
crd_kd,author_code,4,1,240,75.61,93.79,75.91,75.46,0.15000000000000568,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22457.902952300064,1446451200,E:\Contrastive Representation Distillation\runs\author_code_crd_kd_seed4_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_crd_kd_seed4_trial1\resume.pt,b08450283a0e8ad5846e5d6c8aa243512ab890f028a4513a0bbf4c07b17ce64a,
crd,author_code,0,1,240,75.05,94.13,75.55,75.51,-0.46000000000000796,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22748.25222779985,1446451200,E:\Contrastive Representation Distillation\runs\author_code_crd_seed0_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_crd_seed0_trial1\resume.pt,90523443560cf18a64a442fdebc4508f1627ebf27c46fcac6634c2d9142dd1b1,
crd,author_code,1,1,240,75.56,93.88,75.56,75.51,0.04999999999999716,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22718.61645760003,1446451200,E:\Contrastive Representation Distillation\runs\author_code_crd_seed1_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_crd_seed1_trial1\resume.pt,90523443560cf18a64a442fdebc4508f1627ebf27c46fcac6634c2d9142dd1b1,
crd,author_code,2,1,240,75.25,93.75,75.44,75.51,-0.2600000000000051,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22532.5447066006,1446451200,E:\Contrastive Representation Distillation\runs\author_code_crd_seed2_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_crd_seed2_trial1\resume.pt,90523443560cf18a64a442fdebc4508f1627ebf27c46fcac6634c2d9142dd1b1,
crd,author_code,3,1,240,75.48,93.6,75.67,75.51,-0.030000000000001137,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22454.073632399886,1446541312,E:\Contrastive Representation Distillation\runs\author_code_crd_seed3_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_crd_seed3_trial1\resume.pt,90523443560cf18a64a442fdebc4508f1627ebf27c46fcac6634c2d9142dd1b1,
crd,author_code,4,1,240,75.3,94.0,75.67,75.51,-0.21000000000000796,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22485.050215499992,1446451200,E:\Contrastive Representation Distillation\runs\author_code_crd_seed4_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_crd_seed4_trial1\resume.pt,90523443560cf18a64a442fdebc4508f1627ebf27c46fcac6634c2d9142dd1b1,
