teacher {'sha256': '22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f', 'source_url': 'http://shape2prog.csail.mit.edu/repo/resnet32x4_vanilla/ckpt_epoch_240.pth', 'architecture': 'resnet32x4', 'top1': 79.42, 'top5': 94.58, 'ce': 0.8833264050483703, 'n': 10000, 'evaluation_seconds': 3.866952299955301}
normalization constant Z_v1 is set to 110113.6
normalization constant Z_v2 is set to 110647.8
{'epoch': 1, 'global_step': 782, 'ce': 3.849198113555908, 'kd': 9.335965908813476, 'crd': 22.01296831970215, 'total': 30.795539057006835, 'train_top1': 10.86, 'test_top1': 12.91, 'test_top5': 35.23, 'test_ce': 4.2296455787658696, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.56325989996549, 'train_seconds': 92.44071119994624, 'train_n': 50000, 'best_top1': 12.91, 'peak_memory_bytes': 1446451200}
{'epoch': 2, 'global_step': 1564, 'ce': 3.106444583129883, 'kd': 8.100590374145508, 'crd': 19.844483240356446, 'total': 27.082621861572267, 'train_top1': 22.748, 'test_top1': 27.47, 'test_top5': 60.38, 'test_ce': 2.902208198928833, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.98057980003068, 'train_seconds': 92.75292450003326, 'train_n': 50000, 'best_top1': 27.47, 'peak_memory_bytes': 1446451200}
{'epoch': 3, 'global_step': 2346, 'ce': 2.5529094647979735, 'kd': 7.088781768035889, 'crd': 17.18895198364258, 'total': 23.39285299682617, 'train_top1': 33.678, 'test_top1': 30.7, 'test_top5': 63.08, 'test_ce': 3.0391241817474364, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.97204530000454, 'train_seconds': 92.67959610000253, 'train_n': 50000, 'best_top1': 30.7, 'peak_memory_bytes': 1446451200}
{'epoch': 4, 'global_step': 3128, 'ce': 2.195712734107971, 'kd': 6.39231790222168, 'crd': 14.52981067626953, 'total': 20.211879375, 'train_top1': 41.846, 'test_top1': 37.74, 'test_top5': 70.85, 'test_ce': 2.8193366687774657, 'test_n': 10000, 'lr': 0.05, 'seconds': 95.2591752000153, 'train_seconds': 93.0873447000049, 'train_n': 50000, 'best_top1': 37.74, 'peak_memory_bytes': 1446451200}
{'epoch': 5, 'global_step': 3910, 'ce': 1.9602278743743897, 'kd': 5.902820109558106, 'crd': 12.932729171142578, 'total': 18.209231492919923, 'train_top1': 46.976, 'test_top1': 44.78, 'test_top5': 76.55, 'test_ce': 2.229915493774414, 'test_n': 10000, 'lr': 0.05, 'seconds': 95.086104099988, 'train_seconds': 92.69658280001022, 'train_n': 50000, 'best_top1': 44.78, 'peak_memory_bytes': 1446451200}
{'epoch': 6, 'global_step': 4692, 'ce': 1.7870107982254029, 'kd': 5.546702591705322, 'crd': 11.96490327545166, 'total': 16.9056362310791, 'train_top1': 51.57, 'test_top1': 38.96, 'test_top5': 71.3, 'test_ce': 2.7182898403167726, 'test_n': 10000, 'lr': 0.05, 'seconds': 95.21208129997831, 'train_seconds': 93.0332175999647, 'train_n': 50000, 'best_top1': 44.78, 'peak_memory_bytes': 1446451200}
{'epoch': 7, 'global_step': 5474, 'ce': 1.6583954664993286, 'kd': 5.287869618530274, 'crd': 11.126613192138672, 'total': 15.847555832214356, 'train_top1': 54.82, 'test_top1': 46.58, 'test_top5': 78.3, 'test_ce': 2.1542538736343384, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.99834150000243, 'train_seconds': 92.86434420000296, 'train_n': 50000, 'best_top1': 46.58, 'peak_memory_bytes': 1446451200}
{'epoch': 8, 'global_step': 6256, 'ce': 1.5592043482589721, 'kd': 5.0787621911621095, 'crd': 10.511711580810546, 'total': 15.047335982666016, 'train_top1': 57.068, 'test_top1': 48.55, 'test_top5': 79.63, 'test_ce': 2.2034100481033327, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.78844939998817, 'train_seconds': 92.55174020002596, 'train_n': 50000, 'best_top1': 48.55, 'peak_memory_bytes': 1446451200}
{'epoch': 9, 'global_step': 7038, 'ce': 1.4945827577590942, 'kd': 4.930748556518554, 'crd': 10.05134726196289, 'total': 14.466409271850585, 'train_top1': 58.942, 'test_top1': 53.79, 'test_top5': 82.82, 'test_ce': 1.857348402404785, 'test_n': 10000, 'lr': 0.05, 'seconds': 95.38589660002617, 'train_seconds': 93.12373910000315, 'train_n': 50000, 'best_top1': 53.79, 'peak_memory_bytes': 1446451200}
{'epoch': 10, 'global_step': 7820, 'ce': 1.4352788548278808, 'kd': 4.797115812988281, 'crd': 9.694064726257324, 'total': 13.987646553955079, 'train_top1': 60.178, 'test_top1': 52.2, 'test_top5': 80.81, 'test_ce': 1.981825846862793, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.66112540004542, 'train_seconds': 92.50328490004176, 'train_n': 50000, 'best_top1': 53.79, 'peak_memory_bytes': 1446451200}
{'epoch': 11, 'global_step': 8602, 'ce': 1.3955949073791505, 'kd': 4.705448562316895, 'crd': 9.412106911621093, 'total': 13.630729078369141, 'train_top1': 61.282, 'test_top1': 50.02, 'test_top5': 79.23, 'test_ce': 2.134577109146118, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.55458019999787, 'train_seconds': 92.46565710002324, 'train_n': 50000, 'best_top1': 53.79, 'peak_memory_bytes': 1446451200}
