teacher {'sha256': '22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f', 'source_url': 'http://shape2prog.csail.mit.edu/repo/resnet32x4_vanilla/ckpt_epoch_240.pth', 'architecture': 'resnet32x4', 'top1': 79.42, 'top5': 94.58, 'ce': 0.8833264050483703, 'n': 10000, 'evaluation_seconds': 3.8446215000003576}
normalization constant Z_v1 is set to 110497.9
normalization constant Z_v2 is set to 111062.9
{'epoch': 1, 'global_step': 782, 'ce': 3.858714357299805, 'kd': 9.565155674743652, 'crd': 22.01930585205078, 'total': 21.474159494628907, 'train_top1': 10.344, 'test_top1': 15.98, 'test_top5': 41.48, 'test_ce': 3.5513087451934813, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.24293300003046, 'train_seconds': 91.17068610002752, 'train_n': 50000, 'best_top1': 15.98, 'peak_memory_bytes': 1446451200}
{'epoch': 2, 'global_step': 1564, 'ce': 3.2293100775146484, 'kd': 8.630287106933594, 'crd': 19.966916154479982, 'total': 19.202843275146485, 'train_top1': 20.54, 'test_top1': 21.21, 'test_top5': 52.1, 'test_ce': 3.192978480911255, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.65359880001051, 'train_seconds': 91.57182489999104, 'train_n': 50000, 'best_top1': 21.21, 'peak_memory_bytes': 1446451200}
{'epoch': 3, 'global_step': 2346, 'ce': 2.7709387070465086, 'kd': 7.904360703277588, 'crd': 17.561596734313966, 'total': 16.820216322631836, 'train_top1': 29.064, 'test_top1': 32.66, 'test_top5': 65.0, 'test_ce': 2.609445497894287, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.88986669998849, 'train_seconds': 91.7623515999876, 'train_n': 50000, 'best_top1': 32.66, 'peak_memory_bytes': 1446451200}
{'epoch': 4, 'global_step': 3128, 'ce': 2.3828634339141845, 'kd': 7.263799338684082, 'crd': 15.004237330932618, 'total': 14.386253509521485, 'train_top1': 37.41, 'test_top1': 38.14, 'test_top5': 71.86, 'test_ce': 2.3957195899963377, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.9760258999886, 'train_seconds': 91.84040240000468, 'train_n': 50000, 'best_top1': 38.14, 'peak_memory_bytes': 1446451200}
{'epoch': 5, 'global_step': 3910, 'ce': 2.1151893222045897, 'kd': 6.84142234161377, 'crd': 13.44654956237793, 'total': 12.87242914642334, 'train_top1': 43.216, 'test_top1': 41.38, 'test_top5': 72.53, 'test_ce': 2.2389130695343016, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.02701769996202, 'train_seconds': 91.88276599999517, 'train_n': 50000, 'best_top1': 41.38, 'peak_memory_bytes': 1446451200}
{'epoch': 6, 'global_step': 4692, 'ce': 1.9269262007522583, 'kd': 6.525934145812989, 'crd': 12.536105627441406, 'total': 11.955810882263183, 'train_top1': 47.632, 'test_top1': 43.74, 'test_top5': 76.04, 'test_ce': 2.131336437225342, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.53569779999088, 'train_seconds': 91.51779539999552, 'train_n': 50000, 'best_top1': 43.74, 'peak_memory_bytes': 1446451200}
{'epoch': 7, 'global_step': 5474, 'ce': 1.7794797751617433, 'kd': 6.250514066772461, 'crd': 11.715299949951172, 'total': 11.151719911499024, 'train_top1': 51.468, 'test_top1': 42.86, 'test_top5': 76.17, 'test_ce': 2.255690891075134, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.87261030002264, 'train_seconds': 91.76754109998001, 'train_n': 50000, 'best_top1': 43.74, 'peak_memory_bytes': 1446451200}
{'epoch': 8, 'global_step': 6256, 'ce': 1.6735551485443114, 'kd': 6.068488260192871, 'crd': 11.03518066772461, 'total': 10.501699866027833, 'train_top1': 53.918, 'test_top1': 49.45, 'test_top5': 80.03, 'test_ce': 1.9186606285095216, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.21134139999049, 'train_seconds': 92.18131220003124, 'train_n': 50000, 'best_top1': 49.45, 'peak_memory_bytes': 1446451200}
{'epoch': 9, 'global_step': 7038, 'ce': 1.5839026377105714, 'kd': 5.886886756591797, 'crd': 10.538800289306641, 'total': 10.0149430670166, 'train_top1': 56.076, 'test_top1': 47.97, 'test_top5': 79.17, 'test_ce': 2.022563615036011, 'test_n': 10000, 'lr': 0.05, 'seconds': 93.601981099986, 'train_seconds': 91.56397740001557, 'train_n': 50000, 'best_top1': 49.45, 'peak_memory_bytes': 1446451200}
{'epoch': 10, 'global_step': 7820, 'ce': 1.5254859270477295, 'kd': 5.807655922851563, 'crd': 10.13048939453125, 'total': 9.629877609863282, 'train_top1': 57.694, 'test_top1': 51.08, 'test_top5': 81.54, 'test_ce': 1.8862724277496339, 'test_n': 10000, 'lr': 0.05, 'seconds': 92.2472706999979, 'train_seconds': 90.15218570001889, 'train_n': 50000, 'best_top1': 51.08, 'peak_memory_bytes': 1446451200}
{'epoch': 11, 'global_step': 8602, 'ce': 1.4715645363426209, 'kd': 5.671486463623047, 'crd': 9.816709025878906, 'total': 9.324931896362305, 'train_top1': 59.296, 'test_top1': 51.84, 'test_top5': 80.89, 'test_ce': 1.8282796298980712, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.16956930002198, 'train_seconds': 92.02700110001024, 'train_n': 50000, 'best_top1': 51.84, 'peak_memory_bytes': 1446451200}
