teacher {'sha256': '22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f', 'source_url': 'http://shape2prog.csail.mit.edu/repo/resnet32x4_vanilla/ckpt_epoch_240.pth', 'architecture': 'resnet32x4', 'top1': 79.42, 'top5': 94.58, 'ce': 0.8833264050483703, 'n': 10000, 'evaluation_seconds': 3.8601375000434928}
{'epoch': 1, 'global_step': 782, 'ce': 3.9237737574005127, 'kd': 9.241652593841552, 'crd': 0.0, 'total': 8.709864484863282, 'train_top1': 10.63, 'test_top1': 13.28, 'test_top5': 39.12, 'test_ce': 4.121692589569092, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.03371349995723, 'train_seconds': 34.99584439996397, 'train_n': 50000, 'best_top1': 13.28, 'peak_memory_bytes': 416142848}
{'epoch': 2, 'global_step': 1564, 'ce': 3.1953687144470213, 'kd': 7.936815786437989, 'crd': 0.0, 'total': 7.462670893249512, 'train_top1': 22.17, 'test_top1': 26.12, 'test_top5': 59.15, 'test_ce': 3.186535821914673, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.01585520000663, 'train_seconds': 34.819770200003404, 'train_n': 50000, 'best_top1': 26.12, 'peak_memory_bytes': 416142848}
{'epoch': 3, 'global_step': 2346, 'ce': 2.742211940612793, 'kd': 7.065743092041016, 'crd': 0.0, 'total': 6.633389810791016, 'train_top1': 30.826, 'test_top1': 28.88, 'test_top5': 61.29, 'test_ce': 3.3335983539581298, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.01498370000627, 'train_seconds': 34.9665278000175, 'train_n': 50000, 'best_top1': 28.88, 'peak_memory_bytes': 416142848}
{'epoch': 4, 'global_step': 3128, 'ce': 2.4363045264053347, 'kd': 6.460553537902832, 'crd': 0.0, 'total': 6.058128474578857, 'train_top1': 37.722, 'test_top1': 35.37, 'test_top5': 68.81, 'test_ce': 2.844959345626831, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.13141519995406, 'train_seconds': 35.03651379997609, 'train_n': 50000, 'best_top1': 35.37, 'peak_memory_bytes': 416142848}
{'epoch': 5, 'global_step': 3910, 'ce': 2.221982200126648, 'kd': 5.990348112182617, 'crd': 0.0, 'total': 5.613511380310059, 'train_top1': 42.864, 'test_top1': 37.93, 'test_top5': 70.95, 'test_ce': 2.7714545272827147, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.882220099971164, 'train_seconds': 34.935475099948235, 'train_n': 50000, 'best_top1': 37.93, 'peak_memory_bytes': 416142848}
{'epoch': 6, 'global_step': 4692, 'ce': 2.072415527038574, 'kd': 5.707159216766358, 'crd': 0.0, 'total': 5.3436847172546384, 'train_top1': 46.154, 'test_top1': 34.39, 'test_top5': 67.54, 'test_ce': 3.187086040496826, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.78237749997061, 'train_seconds': 34.81335329997819, 'train_n': 50000, 'best_top1': 37.93, 'peak_memory_bytes': 416142848}
{'epoch': 7, 'global_step': 5474, 'ce': 1.9574850013351441, 'kd': 5.469224248657227, 'crd': 0.0, 'total': 5.118050196838379, 'train_top1': 49.012, 'test_top1': 41.58, 'test_top5': 74.63, 'test_ce': 2.5360758697509764, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.98271479998948, 'train_seconds': 35.02785969997058, 'train_n': 50000, 'best_top1': 41.58, 'peak_memory_bytes': 416142848}
{'epoch': 8, 'global_step': 6256, 'ce': 1.8782041035079957, 'kd': 5.274044130706787, 'crd': 0.0, 'total': 4.934460001831055, 'train_top1': 50.95, 'test_top1': 46.57, 'test_top5': 78.4, 'test_ce': 2.4538358539581298, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.02096029999666, 'train_seconds': 35.0022001999896, 'train_n': 50000, 'best_top1': 46.57, 'peak_memory_bytes': 416142848}
{'epoch': 9, 'global_step': 7038, 'ce': 1.80014370262146, 'kd': 5.109891327667237, 'crd': 0.0, 'total': 4.7789164468383785, 'train_top1': 52.984, 'test_top1': 42.32, 'test_top5': 72.82, 'test_ce': 3.058152709197998, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.083205300034024, 'train_seconds': 34.965906299999915, 'train_n': 50000, 'best_top1': 46.57, 'peak_memory_bytes': 416142848}
{'epoch': 10, 'global_step': 7820, 'ce': 1.7415106965637206, 'kd': 4.9940040727233885, 'crd': 0.0, 'total': 4.668754621124267, 'train_top1': 54.366, 'test_top1': 45.83, 'test_top5': 76.72, 'test_ce': 2.5910001262664797, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.974503999983426, 'train_seconds': 34.95700709999073, 'train_n': 50000, 'best_top1': 46.57, 'peak_memory_bytes': 416142848}
{'epoch': 11, 'global_step': 8602, 'ce': 1.6946126914215087, 'kd': 4.899190277404785, 'crd': 0.0, 'total': 4.5787323936462405, 'train_top1': 55.556, 'test_top1': 48.06, 'test_top5': 79.45, 'test_ce': 2.307208399963379, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.73804869997548, 'train_seconds': 34.77762000000803, 'train_n': 50000, 'best_top1': 48.06, 'peak_memory_bytes': 416142848}
{'epoch': 12, 'global_step': 9384, 'ce': 1.6548328736114502, 'kd': 4.784527976989746, 'crd': 0.0, 'total': 4.471558370666504, 'train_top1': 56.494, 'test_top1': 48.53, 'test_top5': 80.23, 'test_ce': 2.2281534996032715, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.02709930000128, 'train_seconds': 35.05289150000317, 'train_n': 50000, 'best_top1': 48.53, 'peak_memory_bytes': 416142848}
{'epoch': 13, 'global_step': 10166, 'ce': 1.6176646240997314, 'kd': 4.731755642700195, 'crd': 0.0, 'total': 4.420346430892945, 'train_top1': 57.264, 'test_top1': 49.12, 'test_top5': 79.5, 'test_ce': 2.387953261947632, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.96494470001198, 'train_seconds': 34.975971499981824, 'train_n': 50000, 'best_top1': 49.12, 'peak_memory_bytes': 416142848}
{'epoch': 14, 'global_step': 10948, 'ce': 1.5815349254608155, 'kd': 4.673731325378418, 'crd': 0.0, 'total': 4.364511584777832, 'train_top1': 58.074, 'test_top1': 52.94, 'test_top5': 83.12, 'test_ce': 2.0101832921981813, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.17232559999684, 'train_seconds': 35.091179299983196, 'train_n': 50000, 'best_top1': 52.94, 'peak_memory_bytes': 416142848}
{'epoch': 15, 'global_step': 11730, 'ce': 1.5615838566589355, 'kd': 4.593086178894043, 'crd': 0.0, 'total': 4.2899358403015135, 'train_top1': 58.612, 'test_top1': 46.24, 'test_top5': 76.86, 'test_ce': 2.604588557624817, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.89251430000877, 'train_seconds': 34.93439240002772, 'train_n': 50000, 'best_top1': 52.94, 'peak_memory_bytes': 416142848}
{'epoch': 16, 'global_step': 12512, 'ce': 1.5499035582733154, 'kd': 4.574092152252197, 'crd': 0.0, 'total': 4.2716731948852535, 'train_top1': 58.846, 'test_top1': 45.92, 'test_top5': 77.19, 'test_ce': 2.7102473148345947, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.84480599995004, 'train_seconds': 34.852289699949324, 'train_n': 50000, 'best_top1': 52.94, 'peak_memory_bytes': 416142848}
{'epoch': 17, 'global_step': 13294, 'ce': 1.5258762379837036, 'kd': 4.518425322875976, 'crd': 0.0, 'total': 4.219170312194824, 'train_top1': 59.49, 'test_top1': 50.06, 'test_top5': 80.63, 'test_ce': 2.2901312982559205, 'test_n': 10000, 'lr': 0.05, 'seconds': 36.865134500025306, 'train_seconds': 34.916041899996344, 'train_n': 50000, 'best_top1': 52.94, 'peak_memory_bytes': 416142848}
{'epoch': 18, 'global_step': 14076, 'ce': 1.5207707137298585, 'kd': 4.502227254180908, 'crd': 0.0, 'total': 4.204081485137939, 'train_top1': 59.66, 'test_top1': 52.1, 'test_top5': 81.31, 'test_ce': 2.075844833755493, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.05373749998398, 'train_seconds': 35.100245899986476, 'train_n': 50000, 'best_top1': 52.94, 'peak_memory_bytes': 416142848}
{'epoch': 19, 'global_step': 14858, 'ce': 1.5071278074645995, 'kd': 4.4731287182617185, 'crd': 0.0, 'total': 4.1765285276794435, 'train_top1': 60.102, 'test_top1': 53.11, 'test_top5': 82.99, 'test_ce': 2.118794088172913, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.10795450001024, 'train_seconds': 34.94873950001784, 'train_n': 50000, 'best_top1': 53.11, 'peak_memory_bytes': 416142848}
{'epoch': 20, 'global_step': 15640, 'ce': 1.493932144470215, 'kd': 4.430124333267212, 'crd': 0.0, 'total': 4.1365050183105465, 'train_top1': 60.424, 'test_top1': 50.25, 'test_top5': 80.12, 'test_ce': 2.2657840564727785, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.182814899948426, 'train_seconds': 35.127137499977835, 'train_n': 50000, 'best_top1': 53.11, 'peak_memory_bytes': 416142848}
{'epoch': 21, 'global_step': 16422, 'ce': 1.4805750170898437, 'kd': 4.395627617340088, 'crd': 0.0, 'total': 4.1041222509765625, 'train_top1': 60.962, 'test_top1': 51.1, 'test_top5': 80.91, 'test_ce': 2.174972573471069, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.264347000047565, 'train_seconds': 35.1199383000494, 'train_n': 50000, 'best_top1': 53.11, 'peak_memory_bytes': 416142848}
{'epoch': 22, 'global_step': 17204, 'ce': 1.4692402801132203, 'kd': 4.376751866455078, 'crd': 0.0, 'total': 4.0860006057739255, 'train_top1': 61.018, 'test_top1': 53.47, 'test_top5': 82.73, 'test_ce': 2.103771214103699, 'test_n': 10000, 'lr': 0.05, 'seconds': 37.03028520004591, 'train_seconds': 35.00942840002244, 'train_n': 50000, 'best_top1': 53.47, 'peak_memory_bytes': 416142848}
