{'epoch': 1, 'global_step': 782, 'ce': 3.816444076538086, 'kd': 0.0, 'crd': 0.0, 'total': 3.816444076538086, 'train_top1': 11.168, 'test_top1': 17.0, 'test_top5': 44.18, 'test_ce': 3.4207354095458986, 'test_n': 10000, 'lr': 0.05, 'seconds': 29.736012100009248, 'train_seconds': 27.418257500045, 'train_n': 50000, 'best_top1': 17.0, 'peak_memory_bytes': 347317760}
{'epoch': 2, 'global_step': 1564, 'ce': 3.11326486328125, 'kd': 0.0, 'crd': 0.0, 'total': 3.11326486328125, 'train_top1': 22.708, 'test_top1': 24.62, 'test_top5': 55.56, 'test_ce': 3.0160965454101563, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.627197499969043, 'train_seconds': 28.35476070002187, 'train_n': 50000, 'best_top1': 24.62, 'peak_memory_bytes': 347317760}
{'epoch': 3, 'global_step': 2346, 'ce': 2.6693681588745117, 'kd': 0.0, 'crd': 0.0, 'total': 2.6693681588745117, 'train_top1': 31.084, 'test_top1': 30.51, 'test_top5': 63.55, 'test_ce': 2.7093543209075928, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.877831000019796, 'train_seconds': 28.496219099964947, 'train_n': 50000, 'best_top1': 30.51, 'peak_memory_bytes': 347317760}
{'epoch': 4, 'global_step': 3128, 'ce': 2.341386485214233, 'kd': 0.0, 'crd': 0.0, 'total': 2.341386485214233, 'train_top1': 38.074, 'test_top1': 35.66, 'test_top5': 68.04, 'test_ce': 2.5403643466949464, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.891533100046217, 'train_seconds': 28.58305879996624, 'train_n': 50000, 'best_top1': 35.66, 'peak_memory_bytes': 347317760}
{'epoch': 5, 'global_step': 3910, 'ce': 2.138861206665039, 'kd': 0.0, 'crd': 0.0, 'total': 2.138861206665039, 'train_top1': 42.562, 'test_top1': 36.45, 'test_top5': 70.63, 'test_ce': 2.458229174423218, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.670799800078385, 'train_seconds': 28.479776400025003, 'train_n': 50000, 'best_top1': 36.45, 'peak_memory_bytes': 347317760}
{'epoch': 6, 'global_step': 4692, 'ce': 1.9955282461547852, 'kd': 0.0, 'crd': 0.0, 'total': 1.9955282461547852, 'train_top1': 45.858, 'test_top1': 38.25, 'test_top5': 68.34, 'test_ce': 2.5178837322235106, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.600427599973045, 'train_seconds': 28.38433759997133, 'train_n': 50000, 'best_top1': 38.25, 'peak_memory_bytes': 347317760}
{'epoch': 7, 'global_step': 5474, 'ce': 1.8846720668411254, 'kd': 0.0, 'crd': 0.0, 'total': 1.8846720668411254, 'train_top1': 48.476, 'test_top1': 42.37, 'test_top5': 73.96, 'test_ce': 2.2934997203826906, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.73466550000012, 'train_seconds': 28.533259900053963, 'train_n': 50000, 'best_top1': 42.37, 'peak_memory_bytes': 347317760}
{'epoch': 8, 'global_step': 6256, 'ce': 1.7998732265472412, 'kd': 0.0, 'crd': 0.0, 'total': 1.7998732265472412, 'train_top1': 50.576, 'test_top1': 46.12, 'test_top5': 77.33, 'test_ce': 2.0391535800933838, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.73866419994738, 'train_seconds': 28.466771799954586, 'train_n': 50000, 'best_top1': 46.12, 'peak_memory_bytes': 347317760}
{'epoch': 9, 'global_step': 7038, 'ce': 1.7270054554748535, 'kd': 0.0, 'crd': 0.0, 'total': 1.7270054554748535, 'train_top1': 52.378, 'test_top1': 46.95, 'test_top5': 78.38, 'test_ce': 1.9717366582870484, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.93051829992328, 'train_seconds': 28.506935099954717, 'train_n': 50000, 'best_top1': 46.95, 'peak_memory_bytes': 347317760}
{'epoch': 10, 'global_step': 7820, 'ce': 1.6705797663879394, 'kd': 0.0, 'crd': 0.0, 'total': 1.6705797663879394, 'train_top1': 53.768, 'test_top1': 42.75, 'test_top5': 74.07, 'test_ce': 2.355301739883423, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.80512309994083, 'train_seconds': 28.480430700001307, 'train_n': 50000, 'best_top1': 46.95, 'peak_memory_bytes': 347317760}
{'epoch': 11, 'global_step': 8602, 'ce': 1.6159364516067505, 'kd': 0.0, 'crd': 0.0, 'total': 1.6159364516067505, 'train_top1': 55.052, 'test_top1': 48.92, 'test_top5': 79.5, 'test_ce': 1.9258405241012573, 'test_n': 10000, 'lr': 0.05, 'seconds': 29.961757199955173, 'train_seconds': 27.756372899981216, 'train_n': 50000, 'best_top1': 48.92, 'peak_memory_bytes': 347317760}
{'epoch': 12, 'global_step': 9384, 'ce': 1.5839555569839479, 'kd': 0.0, 'crd': 0.0, 'total': 1.5839555569839479, 'train_top1': 56.228, 'test_top1': 53.92, 'test_top5': 83.39, 'test_ce': 1.693365238571167, 'test_n': 10000, 'lr': 0.05, 'seconds': 29.14240010001231, 'train_seconds': 27.142935000010766, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 13, 'global_step': 10166, 'ce': 1.5480375622177125, 'kd': 0.0, 'crd': 0.0, 'total': 1.5480375622177125, 'train_top1': 56.838, 'test_top1': 48.17, 'test_top5': 79.16, 'test_ce': 2.0424046825408935, 'test_n': 10000, 'lr': 0.05, 'seconds': 28.329669800004922, 'train_seconds': 26.1396020000102, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 14, 'global_step': 10948, 'ce': 1.5234163620376586, 'kd': 0.0, 'crd': 0.0, 'total': 1.5234163620376586, 'train_top1': 57.454, 'test_top1': 47.21, 'test_top5': 79.68, 'test_ce': 2.084820712661743, 'test_n': 10000, 'lr': 0.05, 'seconds': 29.60634639998898, 'train_seconds': 27.44787399994675, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 15, 'global_step': 11730, 'ce': 1.501677449569702, 'kd': 0.0, 'crd': 0.0, 'total': 1.501677449569702, 'train_top1': 57.95, 'test_top1': 44.36, 'test_top5': 75.6, 'test_ce': 2.4884674625396728, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.254874899983406, 'train_seconds': 28.07936360000167, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 16, 'global_step': 12512, 'ce': 1.4878543759918212, 'kd': 0.0, 'crd': 0.0, 'total': 1.4878543759918212, 'train_top1': 58.336, 'test_top1': 49.32, 'test_top5': 79.58, 'test_ce': 1.9704529472351073, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.26716479996685, 'train_seconds': 28.062023899983615, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 17, 'global_step': 13294, 'ce': 1.47260879737854, 'kd': 0.0, 'crd': 0.0, 'total': 1.47260879737854, 'train_top1': 58.68, 'test_top1': 42.18, 'test_top5': 74.13, 'test_ce': 2.649978141784668, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.355187400011346, 'train_seconds': 28.142797800013795, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 18, 'global_step': 14076, 'ce': 1.4500819088363648, 'kd': 0.0, 'crd': 0.0, 'total': 1.4500819088363648, 'train_top1': 59.326, 'test_top1': 50.9, 'test_top5': 80.75, 'test_ce': 1.8635149570465088, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.16503230005037, 'train_seconds': 27.914568500011228, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 19, 'global_step': 14858, 'ce': 1.434189034500122, 'kd': 0.0, 'crd': 0.0, 'total': 1.434189034500122, 'train_top1': 59.856, 'test_top1': 49.48, 'test_top5': 79.09, 'test_ce': 1.9989552587509156, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.427551300032064, 'train_seconds': 28.172256899997592, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 20, 'global_step': 15640, 'ce': 1.422004999923706, 'kd': 0.0, 'crd': 0.0, 'total': 1.422004999923706, 'train_top1': 60.198, 'test_top1': 52.09, 'test_top5': 81.41, 'test_ce': 1.811787331390381, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.443748000077903, 'train_seconds': 28.223871299996972, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 21, 'global_step': 16422, 'ce': 1.4184759237670899, 'kd': 0.0, 'crd': 0.0, 'total': 1.4184759237670899, 'train_top1': 60.278, 'test_top1': 53.57, 'test_top5': 82.55, 'test_ce': 1.7464946208953858, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.099469000007957, 'train_seconds': 27.91823640000075, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 22, 'global_step': 17204, 'ce': 1.4003764764404296, 'kd': 0.0, 'crd': 0.0, 'total': 1.4003764764404296, 'train_top1': 60.552, 'test_top1': 51.64, 'test_top5': 81.32, 'test_ce': 1.8311942634582519, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.13769839995075, 'train_seconds': 27.970809599966742, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 23, 'global_step': 17986, 'ce': 1.3849862022399901, 'kd': 0.0, 'crd': 0.0, 'total': 1.3849862022399901, 'train_top1': 61.06, 'test_top1': 42.14, 'test_top5': 72.47, 'test_ce': 2.518894860839844, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.236248799948953, 'train_seconds': 28.057775699999183, 'train_n': 50000, 'best_top1': 53.92, 'peak_memory_bytes': 347317760}
{'epoch': 24, 'global_step': 18768, 'ce': 1.3868483430099487, 'kd': 0.0, 'crd': 0.0, 'total': 1.3868483430099487, 'train_top1': 60.818, 'test_top1': 55.41, 'test_top5': 84.03, 'test_ce': 1.647910870361328, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.237699900055304, 'train_seconds': 28.058034499990754, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 25, 'global_step': 19550, 'ce': 1.3776614545822143, 'kd': 0.0, 'crd': 0.0, 'total': 1.3776614545822143, 'train_top1': 61.126, 'test_top1': 53.9, 'test_top5': 82.51, 'test_ce': 1.7482362968444825, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.33721760008484, 'train_seconds': 28.04916390008293, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 26, 'global_step': 20332, 'ce': 1.3758427645874023, 'kd': 0.0, 'crd': 0.0, 'total': 1.3758427645874023, 'train_top1': 61.3, 'test_top1': 54.7, 'test_top5': 83.82, 'test_ce': 1.6885874855041505, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.266013200045563, 'train_seconds': 27.922693600063212, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 27, 'global_step': 21114, 'ce': 1.3601735256958007, 'kd': 0.0, 'crd': 0.0, 'total': 1.3601735256958007, 'train_top1': 61.666, 'test_top1': 53.54, 'test_top5': 82.02, 'test_ce': 1.7863735412597657, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.204238099977374, 'train_seconds': 28.060359099996276, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 28, 'global_step': 21896, 'ce': 1.3609090120315552, 'kd': 0.0, 'crd': 0.0, 'total': 1.3609090120315552, 'train_top1': 61.532, 'test_top1': 53.01, 'test_top5': 82.96, 'test_ce': 1.7443882431030273, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.142563300090842, 'train_seconds': 27.959247900056653, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 29, 'global_step': 22678, 'ce': 1.3708039516830444, 'kd': 0.0, 'crd': 0.0, 'total': 1.3708039516830444, 'train_top1': 61.382, 'test_top1': 53.91, 'test_top5': 82.42, 'test_ce': 1.7433654243469239, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.404639199958183, 'train_seconds': 28.206524300039746, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 30, 'global_step': 23460, 'ce': 1.3474698132324219, 'kd': 0.0, 'crd': 0.0, 'total': 1.3474698132324219, 'train_top1': 61.984, 'test_top1': 52.88, 'test_top5': 82.68, 'test_ce': 1.75474577293396, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.34867930004839, 'train_seconds': 28.148624300025403, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 31, 'global_step': 24242, 'ce': 1.34927446975708, 'kd': 0.0, 'crd': 0.0, 'total': 1.34927446975708, 'train_top1': 62.06, 'test_top1': 50.31, 'test_top5': 80.83, 'test_ce': 2.0019796195983885, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.341709000058472, 'train_seconds': 28.11743079998996, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 32, 'global_step': 25024, 'ce': 1.3482700619888306, 'kd': 0.0, 'crd': 0.0, 'total': 1.3482700619888306, 'train_top1': 61.96, 'test_top1': 53.59, 'test_top5': 82.93, 'test_ce': 1.7550185472488404, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.542137400014326, 'train_seconds': 28.281666000024416, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 33, 'global_step': 25806, 'ce': 1.333215595474243, 'kd': 0.0, 'crd': 0.0, 'total': 1.333215595474243, 'train_top1': 62.342, 'test_top1': 54.5, 'test_top5': 83.47, 'test_ce': 1.7612632173538207, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.64100669999607, 'train_seconds': 28.36742340005003, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 34, 'global_step': 26588, 'ce': 1.3416914645004272, 'kd': 0.0, 'crd': 0.0, 'total': 1.3416914645004272, 'train_top1': 62.094, 'test_top1': 50.58, 'test_top5': 81.68, 'test_ce': 1.8598685028076172, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.430400200071745, 'train_seconds': 28.234986199997365, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
{'epoch': 35, 'global_step': 27370, 'ce': 1.3355679973602295, 'kd': 0.0, 'crd': 0.0, 'total': 1.3355679973602295, 'train_top1': 62.508, 'test_top1': 55.3, 'test_top5': 83.33, 'test_ce': 1.702259196281433, 'test_n': 10000, 'lr': 0.05, 'seconds': 30.131200499949045, 'train_seconds': 27.866493299952708, 'train_n': 50000, 'best_top1': 55.41, 'peak_memory_bytes': 347317760}
