teacher {'sha256': '22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f', 'source_url': 'http://shape2prog.csail.mit.edu/repo/resnet32x4_vanilla/ckpt_epoch_240.pth', 'architecture': 'resnet32x4', 'top1': 79.42, 'top5': 94.58, 'ce': 0.8833264050483703, 'n': 10000, 'evaluation_seconds': 3.8315046000061557}
normalization constant Z_v1 is set to 73797.4
normalization constant Z_v2 is set to 73916.4
{'epoch': 1, 'global_step': 782, 'ce': 3.850868401031494, 'kd': 9.34711378479004, 'crd': 21.226219224853516, 'total': 30.178957974853514, 'train_top1': 10.584, 'test_top1': 17.05, 'test_top5': 44.14, 'test_ce': 3.4911753631591798, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.76753029999963, 'train_seconds': 92.63927530001092, 'train_n': 50000, 'best_top1': 17.05, 'peak_memory_bytes': 1446451200}
{'epoch': 2, 'global_step': 1564, 'ce': 3.1533401033782957, 'kd': 8.166735911254882, 'crd': 19.700954014892577, 'total': 27.08083954711914, 'train_top1': 22.248, 'test_top1': 25.26, 'test_top5': 56.84, 'test_ce': 3.0851595836639403, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.53770240000449, 'train_seconds': 92.47315020000678, 'train_n': 50000, 'best_top1': 25.26, 'peak_memory_bytes': 1446451200}
{'epoch': 3, 'global_step': 2346, 'ce': 2.596223125, 'kd': 7.179132950897217, 'crd': 17.921344900512697, 'total': 24.11243219177246, 'train_top1': 32.842, 'test_top1': 32.99, 'test_top5': 66.48, 'test_ce': 2.7183423629760743, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.61620109999785, 'train_seconds': 92.54497580000316, 'train_n': 50000, 'best_top1': 32.99, 'peak_memory_bytes': 1446451200}
{'epoch': 4, 'global_step': 3128, 'ce': 2.2210256214904787, 'kd': 6.435544191131592, 'crd': 15.83925917602539, 'total': 21.3279773626709, 'train_top1': 41.12, 'test_top1': 39.23, 'test_top5': 71.74, 'test_ce': 2.568772227478027, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.91341749999265, 'train_seconds': 92.9261642999918, 'train_n': 50000, 'best_top1': 39.23, 'peak_memory_bytes': 1446451200}
{'epoch': 5, 'global_step': 3910, 'ce': 1.9864119394683837, 'kd': 5.983017793273926, 'crd': 14.59812658996582, 'total': 19.647931204833984, 'train_top1': 46.72, 'test_top1': 44.72, 'test_top5': 76.66, 'test_ce': 2.2391350845336913, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.4136351999914, 'train_seconds': 92.26539099999354, 'train_n': 50000, 'best_top1': 44.72, 'peak_memory_bytes': 1446451200}
{'epoch': 6, 'global_step': 4692, 'ce': 1.8163297717666627, 'kd': 5.58739162109375, 'crd': 13.541183654174805, 'total': 18.23666852661133, 'train_top1': 50.758, 'test_top1': 44.14, 'test_top5': 74.35, 'test_ce': 2.4466625179290773, 'test_n': 10000, 'lr': 0.05, 'seconds': 95.04670069999702, 'train_seconds': 92.92901089999941, 'train_n': 50000, 'best_top1': 44.72, 'peak_memory_bytes': 1446451200}
{'epoch': 7, 'global_step': 5474, 'ce': 1.6886768415641784, 'kd': 5.332562824554444, 'crd': 12.814710076599122, 'total': 17.27300790283203, 'train_top1': 53.708, 'test_top1': 50.59, 'test_top5': 81.25, 'test_ce': 1.962542561531067, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.7642663000006, 'train_seconds': 92.60395360000257, 'train_n': 50000, 'best_top1': 50.59, 'peak_memory_bytes': 1446451200}
{'epoch': 8, 'global_step': 6256, 'ce': 1.5938370570755005, 'kd': 5.121094417724609, 'crd': 12.289859709472656, 'total': 16.546819423217773, 'train_top1': 56.108, 'test_top1': 48.76, 'test_top5': 80.02, 'test_ce': 2.1711840549468993, 'test_n': 10000, 'lr': 0.05, 'seconds': 95.17177729999821, 'train_seconds': 93.05620310000086, 'train_n': 50000, 'best_top1': 50.59, 'peak_memory_bytes': 1446451200}
{'epoch': 9, 'global_step': 7038, 'ce': 1.5146577224731446, 'kd': 4.957899341888428, 'crd': 11.908774520263671, 'total': 15.999576868896485, 'train_top1': 58.246, 'test_top1': 52.71, 'test_top5': 82.68, 'test_ce': 1.864312392616272, 'test_n': 10000, 'lr': 0.05, 'seconds': 95.09503149999364, 'train_seconds': 92.95305549999466, 'train_n': 50000, 'best_top1': 52.71, 'peak_memory_bytes': 1446451200}
{'epoch': 10, 'global_step': 7820, 'ce': 1.4559435507965088, 'kd': 4.807473241271973, 'crd': 11.60392065979004, 'total': 15.546553517456054, 'train_top1': 59.632, 'test_top1': 49.73, 'test_top5': 79.31, 'test_ce': 2.1503361083984376, 'test_n': 10000, 'lr': 0.05, 'seconds': 94.39162059999944, 'train_seconds': 92.33040239999536, 'train_n': 50000, 'best_top1': 52.71, 'peak_memory_bytes': 1446451200}
{'epoch': 11, 'global_step': 8602, 'ce': 1.4174835048866272, 'kd': 4.715473607025147, 'crd': 11.372337997436523, 'total': 15.230827701721191, 'train_top1': 60.704, 'test_top1': 54.14, 'test_top5': 82.14, 'test_ce': 1.862629813194275, 'test_n': 10000, 'lr': 0.05, 'seconds': 95.2984157000028, 'train_seconds': 93.22433690000616, 'train_n': 50000, 'best_top1': 54.14, 'peak_memory_bytes': 1446451200}
