teacher {'sha256': '22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f', 'source_url': 'http://shape2prog.csail.mit.edu/repo/resnet32x4_vanilla/ckpt_epoch_240.pth', 'architecture': 'resnet32x4', 'top1': 79.42, 'top5': 94.58, 'ce': 0.8833264050483703, 'n': 10000, 'evaluation_seconds': 3.972043699992355}
normalization constant Z_v1 is set to 74297.8
normalization constant Z_v2 is set to 73928.6
{'epoch': 1, 'global_step': 782, 'ce': 3.8504207154846193, 'kd': 9.531089465942383, 'crd': 21.228340927124023, 'total': 20.833093830566405, 'train_top1': 10.702, 'test_top1': 12.64, 'test_top5': 38.19, 'test_ce': 3.7946481533050536, 'test_n': 10000, 'lr': 0.05, 'seconds': 97.32095019999542, 'train_seconds': 95.1083171999926, 'train_n': 50000, 'best_top1': 12.64, 'peak_memory_bytes': 1446451200}
{'epoch': 2, 'global_step': 1564, 'ce': 3.1993111344909666, 'kd': 8.59308131652832, 'crd': 19.752270952148436, 'total': 19.00112819946289, 'train_top1': 21.28, 'test_top1': 26.47, 'test_top5': 58.62, 'test_ce': 2.8925340747833252, 'test_n': 10000, 'lr': 0.05, 'seconds': 96.9440423000051, 'train_seconds': 94.60106850000739, 'train_n': 50000, 'best_top1': 26.47, 'peak_memory_bytes': 1446451200}
{'epoch': 3, 'global_step': 2346, 'ce': 2.701668010406494, 'kd': 7.813072720794677, 'crd': 18.045280544433595, 'total': 17.13789264038086, 'train_top1': 30.594, 'test_top1': 27.06, 'test_top5': 59.09, 'test_ce': 2.8718360088348387, 'test_n': 10000, 'lr': 0.05, 'seconds': 98.61821850000706, 'train_seconds': 96.35444710000593, 'train_n': 50000, 'best_top1': 27.06, 'peak_memory_bytes': 1446451200}
{'epoch': 4, 'global_step': 3128, 'ce': 2.335754807739258, 'kd': 7.217665751342773, 'crd': 16.022688973083497, 'total': 15.153906185913087, 'train_top1': 38.094, 'test_top1': 35.37, 'test_top5': 69.28, 'test_ce': 2.5910059825897216, 'test_n': 10000, 'lr': 0.05, 'seconds': 97.08326300000772, 'train_seconds': 94.84826910000993, 'train_n': 50000, 'best_top1': 35.37, 'peak_memory_bytes': 1446451200}
{'epoch': 5, 'global_step': 3910, 'ce': 2.0660752323913574, 'kd': 6.775608290100098, 'crd': 14.863749750671387, 'total': 13.957075231323243, 'train_top1': 44.064, 'test_top1': 42.59, 'test_top5': 75.13, 'test_ce': 2.206354227256775, 'test_n': 10000, 'lr': 0.05, 'seconds': 99.01991550000093, 'train_seconds': 96.82417310000164, 'train_n': 50000, 'best_top1': 42.59, 'peak_memory_bytes': 1446451200}
{'epoch': 6, 'global_step': 4692, 'ce': 1.892446097946167, 'kd': 6.470535548095703, 'crd': 13.877878745117188, 'total': 12.994749272460938, 'train_top1': 48.3, 'test_top1': 44.78, 'test_top5': 78.14, 'test_ce': 2.058604287147522, 'test_n': 10000, 'lr': 0.05, 'seconds': 98.63848190000863, 'train_seconds': 96.2979606000008, 'train_n': 50000, 'best_top1': 44.78, 'peak_memory_bytes': 1446451200}
{'epoch': 7, 'global_step': 5474, 'ce': 1.7499334254455567, 'kd': 6.214549936828614, 'crd': 13.100489254760742, 'total': 12.230325018615723, 'train_top1': 51.974, 'test_top1': 46.97, 'test_top5': 78.66, 'test_ce': 1.9813382095336913, 'test_n': 10000, 'lr': 0.05, 'seconds': 97.63621019999846, 'train_seconds': 95.42209999999614, 'train_n': 50000, 'best_top1': 46.97, 'peak_memory_bytes': 1446451200}
{'epoch': 8, 'global_step': 6256, 'ce': 1.6424506030273438, 'kd': 5.989158687896729, 'crd': 12.552674592285156, 'total': 11.684590458984376, 'train_top1': 54.512, 'test_top1': 50.52, 'test_top5': 81.93, 'test_ce': 1.8438276298522949, 'test_n': 10000, 'lr': 0.05, 'seconds': 97.08347940001113, 'train_seconds': 94.82534970001143, 'train_n': 50000, 'best_top1': 50.52, 'peak_memory_bytes': 1446451200}
{'epoch': 9, 'global_step': 7038, 'ce': 1.5643020412826538, 'kd': 5.861606561126709, 'crd': 12.143084356689453, 'total': 11.278769721984863, 'train_top1': 56.688, 'test_top1': 44.83, 'test_top5': 75.83, 'test_ce': 2.2255628395080564, 'test_n': 10000, 'lr': 0.05, 'seconds': 95.8061286000011, 'train_seconds': 93.6185717999906, 'train_n': 50000, 'best_top1': 50.52, 'peak_memory_bytes': 1446451200}
{'epoch': 10, 'global_step': 7820, 'ce': 1.505571802482605, 'kd': 5.737369420776367, 'crd': 11.83612162536621, 'total': 10.974469292907715, 'train_top1': 58.102, 'test_top1': 51.84, 'test_top5': 82.24, 'test_ce': 1.776729670715332, 'test_n': 10000, 'lr': 0.05, 'seconds': 96.93527259999246, 'train_seconds': 94.67462389999127, 'train_n': 50000, 'best_top1': 51.84, 'peak_memory_bytes': 1446451200}
{'epoch': 11, 'global_step': 8602, 'ce': 1.4576024364089966, 'kd': 5.632898948822022, 'crd': 11.586913287353516, 'total': 10.727133234558105, 'train_top1': 59.516, 'test_top1': 51.43, 'test_top5': 81.88, 'test_ce': 1.8573933742523194, 'test_n': 10000, 'lr': 0.05, 'seconds': 96.01431849999062, 'train_seconds': 93.85434959999111, 'train_n': 50000, 'best_top1': 51.84, 'peak_memory_bytes': 1446451200}
